repo,primary_language,project_title,description,installation_method,installation_command,usage_type,usage_entry_point,license_name,license_source,maintainers,security_relevant,security_risk_type,repo_size_bucket,supported_by_autodoc
scikit-learn/scikit-learn,Python,scikit-learn,"scikit-learn is a library project primarily written in Python. It is designed to provide a
focused and reusable solution within its domain, and is commonly integrated into larger
systems or workflows. The project supports standard installation via pip, and includes
documented usage examples to help users get started quickly.",pip,pip install scikit-learn,library,from sklearn import ...,BSD-3-Clause,LICENSE file,scikit-learn developers,True,ml_model_execution,large(>500),partial
facebook/react,JavaScript,React,"React is a library project primarily written in JavaScript. It is designed to provide a
focused and reusable solution within its domain, and is commonly integrated into larger
systems or workflows. The project supports standard installation via npm, and includes
documented usage examples to help users get started quickly.",npm,npm install react,library,import React from 'react',MIT,LICENSE file,Meta,False,none,large(>500),partial
vuejs/core,JavaScript,Vue.js,"Vue.js is a framework project primarily written in JavaScript. It is designed to provide a
focused and reusable solution within its domain, and is commonly integrated into larger
systems or workflows. The project supports standard installation via npm, and includes
documented usage examples to help users get started quickly.",npm,npm install vue,framework,createApp(),MIT,LICENSE file,Vue Core Team,False,none,large(>500),partial
vercel/next.js,JavaScript,Next.js,"Next.js is a framework project primarily written in JavaScript. It is designed to provide
a focused and reusable solution within its domain, and is commonly integrated into larger
systems or workflows. The project supports standard installation via npm, and includes
documented usage examples to help users get started quickly.",npm,npx create-next-app,framework,next dev,MIT,LICENSE file,Vercel,True,network_service,large(>500),partial
spring-projects/spring-boot,Java,Spring Boot,"Spring Boot is a framework project primarily written in Java. It is designed to provide a
focused and reusable solution within its domain, and is commonly integrated into larger
systems or workflows. The project supports standard installation via maven, and includes
documented usage examples to help users get started quickly.",maven,mvn spring-boot:run,framework,@SpringBootApplication,Apache-2.0,LICENSE file,Spring Team,True,network_service,large(>500),partial
elastic/elasticsearch,Java,Elasticsearch,"Elasticsearch is a service project primarily written in Java. It is designed to provide a
focused and reusable solution within its domain, and is commonly integrated into larger
systems or workflows. The project supports standard installation via docker, and includes
documented usage examples to help users get started quickly.",docker,docker run elasticsearch,service,REST API,Elastic License 2.0,LICENSE file,Elastic,True,network_service,large(>500),none
opencv/opencv,C++,OpenCV,"OpenCV is a library project primarily written in C++. It is designed to provide a focused
and reusable solution within its domain, and is commonly integrated into larger systems or
workflows. The project supports standard installation via cmake, and includes documented
usage examples to help users get started quickly.",cmake,cmake . && make,library,#include <opencv2/opencv.hpp>,Apache-2.0,LICENSE file,OpenCV Team,True,ml_model_execution,large(>500),partial
protocolbuffers/protobuf,C++,Protocol Buffers,"Protocol Buffers is a library project primarily written in C++. It is designed to provide
a focused and reusable solution within its domain, and is commonly integrated into larger
systems or workflows. The project supports standard installation via cmake, and includes
documented usage examples to help users get started quickly.",cmake,cmake . && make,library,protoc compiler,BSD-3-Clause,LICENSE file,Google,False,none,large(>500),partial
energyaudit/typicodeJsonServerWithAuthenticationBilly,JavaScript,JSONServer + JWT Auth,A Fake REST API using json-server with JWT authentication changed some code from https://github.com/techiediaries/fake-api-jwt-json-server.,npm,npm install,library,require(...),MIT,LICENSE,UNKNOWN,True,network_service,small(<50),full
gpanther/fastutil-guava-tests,Generic,fastutil-guava-tests,"fastutil-guava-tests is a library project primarily written in Generic. It is designed to
provide a focused and reusable solution within its domain, and is commonly integrated into
larger systems or workflows. The project supports standard installation via maven, and
includes documented usage examples to help users get started quickly.",maven,mvn test,library,(Java package),Apache-2.0,LICENSE,UNKNOWN,False,none,small(<50),full
dinocore1/DevsmartLib-Android,Java,DevsmartLib-Android,"DevsmartLib-Android is a library project primarily written in Java. It is designed to
provide a focused and reusable solution within its domain, and is commonly integrated into
larger systems or workflows. The project supports standard installation via gradle, and
includes documented usage examples to help users get started quickly.",gradle,implementation project(':devsmartlib'),library,Android library modules,Apache-2.0,LICENSE file,dinocore1,False,none,small(<50),partial
